                     timestamp      open      high       low     close       volume  Bollinger_High  Bollinger_Med  Bollinger_Low      SMA200        RSI     Regime  Buy_Signal  Sell_Signal  Buy_Signal_Bollinger  Buy_Signal_Regime  Sell_Signal_Bollinger  Sell_Signal_Regime
1999 2023-04-28 10:00:00+00:00  167.4500  167.6200  167.4200  167.5200       9346.0      169.331818     166.504145     163.676472  148.132282  53.614819    Uptrend       False        False                 False               True                  False               False
2000 2023-04-28 11:00:00+00:00  167.5100  167.7500  167.4800  167.5200      73376.0      169.297050     166.678645     164.060240  148.143012  53.614819    Uptrend       False        False                 False               True                  False               False
2001 2023-04-28 12:00:00+00:00  167.6007  168.1900  167.2700  167.9000     293566.0      169.294145     166.856145     164.418145  148.153637  53.871332    Uptrend       False        False                 False               True                  False               False
2002 2023-04-28 13:00:00+00:00  167.9500  169.0400  167.8801  168.5100    7430609.0      169.337836     167.057645     164.777454  148.164262  54.279245    Uptrend       False        False                 False               True                  False               False
2003 2023-04-28 14:00:00+00:00  168.5100  169.8500  168.2300  168.7800   10481732.0      169.374663     167.264645     165.154627  148.174737  54.458394    Uptrend       False        False                 False               True                  False               False
2004 2023-04-28 15:00:00+00:00  168.7800  168.8300  168.0300  168.7600    5334129.0      169.394578     167.450145     165.505712  148.185497  54.442513    Uptrend       False        False                 False               True                  False               False
2005 2023-04-28 16:00:00+00:00  168.7700  168.9700  168.3300  168.8353    4071064.0      169.317589     167.642410     165.967231  148.195774  54.492729    Uptrend       False        False                 False               True                  False               False
2006 2023-04-28 17:00:00+00:00  168.8300  168.8900  168.1500  168.3500    4245154.0      169.142679     167.788910     166.435141  148.206104  54.106431    Uptrend       False        False                 False               True                  False               False
2007 2023-04-28 18:00:00+00:00  168.3450  168.5917  168.1200  168.5701    4286988.0      169.093659     167.906205     166.718751  148.216151  54.254247    Uptrend       False        False                 False               True                  False               False
2008 2023-04-28 19:00:00+00:00  168.5700  169.7100  168.5219  169.6900    9253151.0      169.344621     168.056275     166.767929  148.226749  54.995492    Uptrend       False        False                 False               True                   True               False
