Type,Price,Shares,Timestamp
Buy,171.7,58.24111822947001,2023-10-23 08:00:00+00:00
Sell,168.99,58.24111822947001,2023-10-30 08:00:00+00:00
Buy,168.56,58.389692510667636,2023-10-31 13:00:00+00:00
Sell,171.4579,58.389692510667636,2023-11-01 14:00:00+00:00
Buy,171.53,58.3651493005585,2023-11-02 21:00:00+00:00
Sell,178.755,58.3651493005585,2023-11-06 15:00:00+00:00
Buy,190.0,54.91085401695439,2023-11-24 14:00:00+00:00
Sell,190.71,54.91085401695439,2023-11-28 16:00:00+00:00
Buy,189.35,55.30524937720292,2023-11-28 21:00:00+00:00
Sell,191.74,55.30524937720292,2023-11-29 14:00:00+00:00
Buy,188.03,56.39647139065515,2023-12-04 15:00:00+00:00
Sell,192.69,56.39647139065515,2023-12-05 14:00:00+00:00
Buy,192.33,56.50203333991234,2023-12-06 20:00:00+00:00
Sell,194.7937,56.50203333991234,2023-12-07 15:00:00+00:00
Buy,192.89,57.059671998573705,2023-12-11 14:00:00+00:00
Sell,194.0611,57.059671998573705,2023-12-12 18:00:00+00:00
Buy,196.45,56.365806636204695,2023-12-15 21:00:00+00:00
Sell,196.92,56.365806636204695,2023-12-19 20:00:00+00:00
Buy,194.84,56.9675356333475,2023-12-20 20:00:00+00:00
Sell,183.4141,56.9675356333475,2024-01-08 14:00:00+00:00
Buy,183.0,57.09644413884351,2024-01-16 09:00:00+00:00
Sell,185.92,57.09644413884351,2024-01-18 11:00:00+00:00
Buy,194.26,54.64517087559861,2024-01-24 21:00:00+00:00
Sell,186.89,54.64517087559861,2024-02-01 20:00:00+00:00
Buy,180.61,56.54524104391021,2024-02-01 22:00:00+00:00
Sell,189.065,56.54524104391021,2024-02-05 17:00:00+00:00
Buy,188.115,56.830800297514195,2024-02-08 15:00:00+00:00
Sell,189.77,56.830800297514195,2024-02-09 16:00:00+00:00
Buy,187.985,57.370433664703405,2024-02-12 14:00:00+00:00
Sell,185.21,57.370433664703405,2024-02-15 21:00:00+00:00
Buy,180.805,58.76816470252326,2024-02-26 17:00:00+00:00
Sell,182.945,58.76816470252326,2024-02-27 19:00:00+00:00
Buy,178.86,60.11037622443875,2024-03-01 10:00:00+00:00
Sell,170.56,60.11037622443875,2024-03-07 18:00:00+00:00
Buy,171.6653,59.72334402375014,2024-03-13 13:00:00+00:00
Sell,173.84,59.72334402375014,2024-03-14 14:00:00+00:00
Buy,171.45,60.55588291098702,2024-03-15 13:00:00+00:00
Sell,176.758,60.55588291098702,2024-03-18 13:00:00+00:00
Buy,172.5907,62.01803893014076,2024-03-21 14:00:00+00:00
Sell,172.7152,62.01803893014076,2024-03-27 13:00:00+00:00
Buy,170.135,62.95857993609222,2024-04-01 13:00:00+00:00
Sell,170.52,62.95857993609222,2024-04-03 14:00:00+00:00
Buy,168.89,63.566209075152145,2024-04-04 19:00:00+00:00
Sell,169.605,63.566209075152145,2024-04-09 13:00:00+00:00
Buy,167.47,64.37658619568388,2024-04-10 13:00:00+00:00
Sell,169.9088,64.37658619568388,2024-04-11 15:00:00+00:00
Buy,173.9,62.89907135483159,2024-04-15 17:00:00+00:00
Sell,167.19,62.89907135483159,2024-04-22 17:00:00+00:00
Buy,170.05,61.84119811710845,2024-04-30 19:00:00+00:00
Sell,185.3,61.84119811710845,2024-05-02 20:00:00+00:00
Buy,181.38,63.17771535505677,2024-05-06 08:00:00+00:00
Sell,183.92,63.17771535505677,2024-05-07 12:00:00+00:00
Buy,182.39,63.70768906245979,2024-05-10 16:00:00+00:00
Sell,187.53,63.70768906245979,2024-05-14 18:00:00+00:00
Buy,188.66,63.32610479106904,2024-05-20 09:00:00+00:00
Sell,190.9,63.32610479106904,2024-05-20 13:00:00+00:00
Buy,191.3,63.193692653502765,2024-05-22 16:00:00+00:00
Sell,194.29,63.193692653502765,2024-05-28 08:00:00+00:00
Buy,190.335,64.50680403314709,2024-05-31 15:00:00+00:00
Sell,192.47,64.50680403314709,2024-05-31 19:00:00+00:00
Buy,194.48,63.84010989438411,2024-06-06 19:00:00+00:00
Sell,196.9,63.84010989438411,2024-06-07 19:00:00+00:00
Buy,193.16,65.07619402673552,2024-06-10 18:00:00+00:00
Sell,199.13,65.07619402673552,2024-06-11 13:00:00+00:00
Buy,213.575,60.67480986325106,2024-06-18 17:00:00+00:00
Sell,211.0,60.67480986325106,2024-06-26 10:00:00+00:00
Buy,210.61,60.78716528724169,2024-06-28 19:00:00+00:00
Sell,216.9824,60.78716528724169,2024-07-01 16:00:00+00:00
Buy,226.66,58.19176305136501,2024-07-11 14:00:00+00:00
Sell,232.295,58.19176305136501,2024-07-12 17:00:00+00:00
Buy,234.1,57.74308243492881,2024-07-16 14:00:00+00:00
Sell,220.348,57.74308243492881,2024-07-25 17:00:00+00:00
Buy,216.545,58.75717623760278,2024-07-30 15:00:00+00:00
Sell,222.61,58.75717623760278,2024-07-31 14:00:00+00:00
Buy,219.8,59.50834850888424,2024-08-01 15:00:00+00:00
Sell,212.4,59.50834850888424,2024-08-07 13:00:00+00:00
